Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22618.056,17297.239,16684.85,13318.544,11745.401,11070.673,10608.631,11697.73,11430.039,16589.508,16633.512,17066.218,18639.361,18547.686,20483.862,17594.266,20755.22,18804.376,17982.968,19039.064,19849.471,19933.812,21202.594,21950.662,21525.29,21525.29,21525.29,21525.29,21525.29,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,"Bahamas, The",BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Bahrain,BHR,0,0,0,95.342,95.342,95.342,113.677,113.677,517.047,594.054,671.061,979.089,2170.864,3076.613,3795.345,3993.363,4184.047,4543.413,4990.787,5397.824,5599.509,5650.847,6215.565,6563.93,6813.286,8247.083,9383.853,8995.151,9603.873,10010.91,10461.951,9944.904,9944.904,12519.138,12262.448,13054.52,13465.224,14502.985,15287.723,15841.44,16156.802,11958.087,12592.478,12984.847,13505.561,14304.967,15559.081,20883.565,22988.423,24194.866,24554.232,24304.876,24414.886,26200.715,28375.246,28261.569,27194.472,27194.472,27194.472,27194.472,27194.472,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Bangladesh,BGD,1133.103,1375.125,1697.821,2126.86,2673.243,3164.621,3575.325,4169.379,4679.092,5764.524,4715.762,4946.783,715.065,1144.104,1382.459,964.421,1411.795,1580.477,1675.819,1917.841,2218.535,2442.222,3168.288,3523.987,4470.073,5089.796,5738.855,5933.206,7003.97,7422.008,7583.356,9064.824,9614.874,10399.612,11481.377,13039.852,13509.228,13274.54,14334.303,15628.754,16893.869,18918.053,19904.476,21407.946,23109.434,24744.916,28279.904,29603.691,32251.265,35470.891,39431.251,39658.605,41748.795,43369.609,45969.512,48782.101,53593.205,53593.205,53593.205,53593.205,53593.205,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Barbados,BRB,3.667,7.334,7.334,7.334,7.334,7.334,7.334,7.334,7.334,7.334,7.334,7.334,3.667,7.334,3.667,3.667,7.334,7.334,18.335,22.002,25.669,14.668,18.335,22.002,36.67,47.671,51.338,44.004,51.338,55.005,51.338,44.004,36.67,36.67,36.67,33.003,29.336,36.67,33.003,44.004,36.67,29.336,29.336,29.336,29.336,29.336,36.67,36.67,33.003,33.003,29.336,33.003,36.67,44.004,25.669,33.003,33.003,33.003,33.003,33.003,33.003,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33941.752,32284.268,27880.201,26318.059,27737.188,31558.202,30953.147,31994.575,32658.302,33102.009,33703.397,35078.522,38045.125,38804.194,39511.925,39742.946,40524.017,33652.059,41569.112,39357.911,38701.518,39071.885,38738.188,36266.63,36042.943,36042.943,36042.943,36042.943,36042.943,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Belgium,BEL,62.339,69.673,77.007,69.673,73.34,95.342,201.685,927.751,2394.551,4957.784,7843.713,10824.984,13608.237,16395.157,19167.409,18668.697,19930.145,19688.123,19519.441,21330.939,20406.855,18822.711,15537.079,16307.149,16827.863,16783.859,13494.56,15108.04,14913.689,16571.173,18709.034,20003.485,20725.884,21543.625,22152.347,24301.209,27062.46,25801.012,28569.597,30542.443,30619.45,30186.744,30641.452,32984.665,33369.7,33762.069,34491.802,34304.785,33985.756,34506.47,38353.153,32984.665,32929.66,33175.349,29046.307,31990.908,32749.977,32749.977,32749.977,32749.977,32749.977,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.001,11.001,7.334,7.334,3.667,3.667,3.667,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Bolivia,BOL,11.001,84.341,80.674,84.341,91.675,106.343,132.012,139.346,128.345,190.684,62.339,69.673,99.009,117.344,286.026,249.356,304.361,337.364,645.392,678.395,667.394,674.728,667.394,605.055,465.709,421.705,462.042,605.055,594.054,865.412,1437.464,1507.137,1822.499,1881.171,2207.534,2453.223,2794.254,3369.973,2882.262,3105.949,5364.821,2702.579,4506.743,4070.37,3989.696,4514.077,7451.344,4140.043,4770.767,5031.124,5727.854,6127.557,6772.949,7051.641,7656.696,7869.382,8668.788,8668.788,8668.788,8668.788,8668.788,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,788.405,267.691,322.696,282.359,473.043,282.359,322.696,330.03,458.375,300.694,282.359,370.367,583.053,693.063,729.733,770.07,762.736,436.373,458.375,520.714,480.377,374.034,348.365,407.037,421.705,421.705,421.705,421.705,421.705,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667,0,..,..,..,..,..,..
